                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.56772,                0.71874,                 1.0493,                0.98142,                0.96696,                0.97777,                0.89115,                0.47755,                0.60241,                 1.0409,              0.0070633,              0.0070633,              0.0070633
                    112,                0.56849,                0.71215,                 1.0428,                0.98405,                0.96901,                 0.9777,                0.89543,                0.46853,                0.59734,                 1.0432,              0.0070159,              0.0070159,              0.0070159
                    113,                0.54237,                0.70558,                  1.057,                0.98463,                0.97692,                0.97593,                0.89532,                  0.455,                0.61398,                 1.0215,              0.0069682,              0.0069682,              0.0069682
                    114,                0.56925,                 0.7085,                 1.0521,                0.97111,                0.97355,                0.97865,                 0.8978,                0.45379,                0.58289,                0.99433,              0.0069203,              0.0069203,              0.0069203
                    115,                0.55734,                0.69331,                 1.0518,                0.98367,                0.97151,                0.98085,                0.89166,                0.48598,                0.56328,                  1.031,              0.0068722,              0.0068722,              0.0068722
                    116,                0.56046,                0.71866,                 1.0667,                0.98509,                0.97548,                0.98151,                0.89507,                0.47588,                0.55825,                  1.038,              0.0068239,              0.0068239,              0.0068239
                    117,                0.56657,                0.70594,                  1.045,                0.98003,                0.96835,                0.97964,                 0.8891,                0.45951,                 0.5754,                 1.0199,              0.0067754,              0.0067754,              0.0067754
                    118,                0.55577,                0.70442,                 1.0493,                0.98408,                 0.9763,                0.97987,                0.89514,                0.47318,                0.60525,                 1.0123,              0.0067268,              0.0067268,              0.0067268
                    119,                0.56107,                0.68883,                 1.0416,                0.97058,                0.97698,                0.97976,                0.88871,                0.47546,                 0.6016,                 1.0286,              0.0066779,              0.0066779,              0.0066779
                    120,                0.54652,                0.69084,                 1.0274,                0.97473,                0.96843,                0.97814,                0.89452,                0.45876,                 0.5735,                  1.013,              0.0066288,              0.0066288,              0.0066288
                    121,                0.55859,                0.69068,                 1.0475,                0.98055,                0.97398,                0.97773,                0.89522,                0.45833,                0.57408,                 1.0176,              0.0065796,              0.0065796,              0.0065796
                    122,                0.53916,                0.67861,                 1.0342,                0.97892,                0.97006,                0.97725,                0.89422,                0.46031,                0.57406,                 1.0086,              0.0065303,              0.0065303,              0.0065303
                    123,                 0.5442,                0.67944,                 1.0398,                0.98151,                0.96995,                0.97795,                0.89875,                0.44756,                0.55834,                 1.0105,              0.0064807,              0.0064807,              0.0064807
                    124,                0.54408,                0.67245,                 1.0322,                0.97917,                 0.9687,                0.97981,                0.90136,                0.44789,                0.56235,                 1.0173,               0.006431,               0.006431,               0.006431
                    125,                0.56793,                0.69149,                 1.0382,                0.98066,                0.97175,                0.97974,                0.90354,                0.45276,                0.57186,                  1.017,              0.0063812,              0.0063812,              0.0063812
                    126,                0.53847,                0.67499,                 1.0281,                0.98335,                 0.9719,                0.97799,                0.89378,                0.45868,                0.60438,                 1.0092,              0.0063312,              0.0063312,              0.0063312
                    127,                 0.5378,                0.67665,                 1.0421,                0.98506,                0.97487,                0.97807,                0.89897,                0.45156,                0.58196,                 1.0052,               0.006281,               0.006281,               0.006281
                    128,                0.56005,                0.69735,                 1.0374,                0.97662,                0.97292,                0.97908,                0.89779,                0.45595,                0.57342,                 1.0186,              0.0062307,              0.0062307,              0.0062307
                    129,                0.55235,                0.67885,                 1.0271,                0.98109,                0.96963,                0.97974,                0.89684,                 0.4664,                0.60039,                 1.0189,              0.0061803,              0.0061803,              0.0061803
                    130,                 0.5513,                0.68592,                 1.0478,                0.98479,                0.96515,                0.97817,                0.89892,                0.45096,                0.55853,                   1.01,              0.0061298,              0.0061298,              0.0061298
                    131,                0.53845,                0.67423,                 1.0417,                0.97044,                0.97253,                0.97576,                0.89351,                0.46125,                0.59202,                 1.0134,              0.0060792,              0.0060792,              0.0060792
                    132,                0.54705,                0.68564,                 1.0458,                0.98766,                0.97152,                0.98171,                0.90411,                0.44981,                0.54591,                 1.0039,              0.0060284,              0.0060284,              0.0060284
                    133,                0.55242,                0.69445,                 1.0507,                0.98537,                0.97175,                0.98043,                0.90361,                 0.4499,                  0.533,                 1.0093,              0.0059775,              0.0059775,              0.0059775
                    134,                0.53911,                0.66431,                 1.0241,                0.98765,                0.96765,                0.97825,                0.90297,                0.44965,                0.57853,                 1.0104,              0.0059266,              0.0059266,              0.0059266
